region,region_id,district,district_id,planned_uct,planned_ct,total_planned,partner
Awdal,R1720051,Zeylac,R1720142,34080,19080,53160,SC
Awdal,R1720051,Borama,R1720082,19200,6000,25200,SC
Awdal,R1720051,Baki,R1720075,21600,0,21600,SC
Woqooyi Galbeed,R1720068,Gabiley,R1720105,0,8500,8500,ADRA
Woqooyi Galbeed,R1720068,Hargeisa,R1720110,0,1080,1080,SC
Togdheer,R1720067,Odweine,R1720126,0,24696,24696,WFP
Sanaag,R1720065,El Afwein,R1720095,4500,20580,25080,WFP WC
Sanaag,R1720065,Erigavo,R1720099,4980,0,4980,NRC
Sanaag,R1720065,Badhan,R1720121,105924,0,105924,
Bari,R1720054,Bosaso,R1720083,5832,0,5832,SC
Bari,R1720054,Kandala,R1720127,900,1200,2100,SC
Bari,R1720054,Iskushban,R1720112,61476,7680,69156,SC
Bari,R1720054,Gardo,R1720129,161664,8400,170064,SC
Nugaal,R1720064,Garowe,R1720086,2400,8340,10740,SC ADRA
Sool,R1720066,Lasanod,R1720120,0,23880,23880,ADRA
Nugaal,R1720064,Eyl,R1720104,22800,3942,26742,ACF
Mudug,R1720063,Galkacyo,R1720107,537048,1054602,1591650,WFP IRC CESVI ADRA
Mudug,R1720063,Jariban,R1720115,686160,1033776,1719936,IRC
Galgaduud,R1720056,Adado,R1720091,0,11844,11844,ICRC
Galgadud,R1720056,Abudwaq,R1720090,0,33810,33810,ICRC
Galgadud,R1720056,Dusa Mareb,R1720100,0,60378,60378,IRC ICRC
Galgadud,R1720056,El Bur,R1720097,0,76944,76944,ICRC
Galgadud,R1720056,El Der,R1720098,0,1057752,1057752,ICRC
Mudug,R1720063,Hobyo,R1720111,684804,1057752,1742556,
Hiran,R1720058,Mataaban,R1720079,37920,20298,58218,SC
Hiran,R1720058,Belet weyne,R1720079,96600,107874,204474, SC ICRC CESVI Diakonie
Hiran,R1720058,Bulo Burti,R1720085,3600,0,3600,SC Diakonie
Hiran,R1720058,Jalalasqi,R1720113,3600,0,3600,SC
Middle Shabelle,R1720062,Balcad,R1720076,0,7700,7700,
Lower Shabelle,R1720060,Wanla Weyne,R1720138,0,80430,80430,ICRC
Bakool,R1720052,Hudur,R1720141,21780,1200,22980,ACF SC
Bay,R1720055,Baidoa,R1720074,88392,2784,91176,NRC ACTED SC COOPI
Bay,R1720055,Bur Hakaba,R1720089,51840,0,51840,ACTED
